#
# This file contains data for mapping from mapping from code page numbers to their preferred IANA encoding names
# and English names (we do not currently localize ProjectN libraries)
#
# This can be used as input to the EncodingData tool when generating EncodingTable.Data.cs
#
# Format:
#   - Fields in a mapping entry are semi-colon separated
#   - New mapping entries are delimited by a new line
#
37;ibm037;IBM EBCDIC (US-Canada)
437;ibm437;OEM United States
500;ibm500;IBM EBCDIC (International)
708;asmo-708;Arabic (ASMO 708)
720;dos-720;Arabic (DOS)
737;ibm737;Greek (DOS)
775;ibm775;Baltic (DOS)
850;ibm850;Western European (DOS)
852;ibm852;Central European (DOS)
855;ibm855;OEM Cyrillic
857;ibm857;Turkish (DOS)
858;ibm00858;OEM Multilingual Latin I
860;ibm860;Portuguese (DOS)
861;ibm861;Icelandic (DOS)
862;dos-862;Hebrew (DOS)
863;ibm863;French Canadian (DOS)
864;ibm864;Arabic (864)
865;ibm865;Nordic (DOS)
866;cp866;Cyrillic (DOS)
869;ibm869;Greek, Modern (DOS)
870;ibm870;IBM EBCDIC (Multilingual Latin-2)
874;windows-874;Thai (Windows)
875;cp875;IBM EBCDIC (Greek Modern)
932;shift_jis;Japanese (Shift-JIS)
936;gb2312;Chinese Simplified (GB2312)
949;ks_c_5601-1987;Korean
950;big5;Chinese Traditional (Big5)
1026;ibm1026;IBM EBCDIC (Turkish Latin-5)
1047;ibm01047;IBM Latin-1
1140;ibm01140;IBM EBCDIC (US-Canada-Euro)
1141;ibm01141;IBM EBCDIC (Germany-Euro)
1142;ibm01142;IBM EBCDIC (Denmark-Norway-Euro)
1143;ibm01143;IBM EBCDIC (Finland-Sweden-Euro)
1144;ibm01144;IBM EBCDIC (Italy-Euro)
1145;ibm01145;IBM EBCDIC (Spain-Euro)
1146;ibm01146;IBM EBCDIC (UK-Euro)
1147;ibm01147;IBM EBCDIC (France-Euro)
1148;ibm01148;IBM EBCDIC (International-Euro)
1149;ibm01149;IBM EBCDIC (Icelandic-Euro)
1250;windows-1250;Central European (Windows)
1251;windows-1251;Cyrillic (Windows)
1252;windows-1252;Western European (Windows)
1253;windows-1253;Greek (Windows)
1254;windows-1254;Turkish (Windows)
1255;windows-1255;Hebrew (Windows)
1256;windows-1256;Arabic (Windows)
1257;windows-1257;Baltic (Windows)
1258;windows-1258;Vietnamese (Windows)
1361;johab;Korean (Johab)
10000;macintosh;Western European (Mac)
10001;x-mac-japanese;Japanese (Mac)
10002;x-mac-chinesetrad;Chinese Traditional (Mac)
10003;x-mac-korean;Korean (Mac)
10004;x-mac-arabic;Arabic (Mac)
10005;x-mac-hebrew;Hebrew (Mac)
10006;x-mac-greek;Greek (Mac)
10007;x-mac-cyrillic;Cyrillic (Mac)
10008;x-mac-chinesesimp;Chinese Simplified (Mac)
10010;x-mac-romanian;Romanian (Mac)
10017;x-mac-ukrainian;Ukrainian (Mac)
10021;x-mac-thai;Thai (Mac)
10029;x-mac-ce;Central European (Mac)
10079;x-mac-icelandic;Icelandic (Mac)
10081;x-mac-turkish;Turkish (Mac)
10082;x-mac-croatian;Croatian (Mac)
20000;x-chinese-cns;Chinese Traditional (CNS)
20001;x-cp20001;TCA Taiwan
20002;x-chinese-eten;Chinese Traditional (Eten)
20003;x-cp20003;IBM5550 Taiwan
20004;x-cp20004;TeleText Taiwan
20005;x-cp20005;Wang Taiwan
20105;x-ia5;Western European (IA5)
20106;x-ia5-german;German (IA5)
20107;x-ia5-swedish;Swedish (IA5)
20108;x-ia5-norwegian;Norwegian (IA5)
20261;x-cp20261;T.61
20269;x-cp20269;ISO-6937
20273;ibm273;IBM EBCDIC (Germany)
20277;ibm277;IBM EBCDIC (Denmark-Norway)
20278;ibm278;IBM EBCDIC (Finland-Sweden)
20280;ibm280;IBM EBCDIC (Italy)
20284;ibm284;IBM EBCDIC (Spain)
20285;ibm285;IBM EBCDIC (UK)
20290;ibm290;IBM EBCDIC (Japanese katakana)
20297;ibm297;IBM EBCDIC (France)
